Texto,Emoción
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 122),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 81),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 101),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 147),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 52),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 91),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 32),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 124),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 9)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 34),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 94),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 136),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 75),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 85),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 42),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 140),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 18)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 101),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 12),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 37)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 33)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 8),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 109),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 41),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 56),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 131),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 45),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 82),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 19),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 105)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 98)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 135),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 91),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 47),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 59)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 38),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 18),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 49)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 11)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 89),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 96),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 60),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 120),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 140)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 105),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 123),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 68)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 86),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 82),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 69)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 82)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 46),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 117),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 95),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 54)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 52),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 25),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 33),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 112),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 79),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 88),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 149),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 19),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 122),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 65),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 66),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 69),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 36),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 69),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 68),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 68),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 68),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 124),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 93),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 55),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 5),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 81)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 33),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 94),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 51),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 48),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 97),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 104),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 10),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 116),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 132)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 95)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 92),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 69),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 134),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 99),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 106),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 109),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 6),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 49),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 133)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 103),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 21),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 87),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 110),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 132),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 75),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 54),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 62),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 89),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 15)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 8),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 129)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 71)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 57),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 22)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 75)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 122)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 63),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 19),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 35),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 117),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 89),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 133)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 44)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 87),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 115),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 141),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 88),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 35)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 56),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 96),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 125),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 43),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 16),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 139),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 44),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 128),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 55)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 116)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 118),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 12)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 143),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 42),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 28),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 33),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 83),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 123),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 116),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 133),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 30),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 101)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 38),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 2),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 147),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 44)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 6),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 141),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 20)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 37),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 62),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 27),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 124)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 26)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 50),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 39),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 33)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 107),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 33),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 139),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 65)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 47),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 16),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 142),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 133),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 96),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 144),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 110),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 76)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 30),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 98),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 62)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 104),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 47),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 139),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 146),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 109),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 28)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 103),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 15)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 31),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 85),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 87),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 120),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 118)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 45),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 5),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 41),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 20),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 105),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 148),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 52)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 93),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 129),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 79)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 103)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 71),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 22)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 65),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 55),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 142),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 3)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 103),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 148)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 65),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 47),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 70)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 89),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 149),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 43),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 60),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 140),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 145),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 49),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 55),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 131)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 55),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 83),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 86),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 2),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 139)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 80),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 135),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 106),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 106),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 19),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 37),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 4)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 147),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 64),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 96),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 17),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 39),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 10),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 92),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo.,Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 59),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 102)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 88),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 84),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 131),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 133),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 25)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 54),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 143),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 74),Sorpresa
